Platform,Category,Problem Name,URL,Difficulty,Key Concept
LeetCode,Array,130. Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,Medium,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
LeetCode,String,131. Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,"String, Dynamic Programming, Backtracking"
LeetCode,String,132. Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii/,Hard,"String, Dynamic Programming"
LeetCode,Hash Table,133. Clone Graph,https://leetcode.com/problems/clone-graph/,Medium,"Hash Table, Depth-First Search, Breadth-First Search, Graph Theory"
LeetCode,Array,134. Gas Station,https://leetcode.com/problems/gas-station/,Medium,"Array, Greedy"
LeetCode,Array,135. Candy,https://leetcode.com/problems/candy/,Hard,"Array, Greedy"
LeetCode,Array,136. Single Number,https://leetcode.com/problems/single-number/,Easy,"Array, Bit Manipulation"
LeetCode,Array,137. Single Number II,https://leetcode.com/problems/single-number-ii/,Medium,"Array, Bit Manipulation"
LeetCode,Hash Table,138. Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,"Hash Table, Linked List"
LeetCode,Array,139. Word Break,https://leetcode.com/problems/word-break/,Medium,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
LeetCode,Array,140. Word Break II,https://leetcode.com/problems/word-break-ii/,Hard,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
LeetCode,Hash Table,141. Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,Easy,"Hash Table, Linked List, Two Pointers"
LeetCode,Hash Table,142. Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii/,Medium,"Hash Table, Linked List, Two Pointers"
LeetCode,Linked List,143. Reorder List,https://leetcode.com/problems/reorder-list/,Medium,"Linked List, Two Pointers, Stack, Recursion"
LeetCode,Stack,144. Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/,Easy,"Stack, Tree, Depth-First Search, Binary Tree"
LeetCode,Stack,145. Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/,Easy,"Stack, Tree, Depth-First Search, Binary Tree"
LeetCode,Hash Table,146. LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,"Hash Table, Linked List, Design, Doubly-Linked List"
LeetCode,Linked List,147. Insertion Sort List,https://leetcode.com/problems/insertion-sort-list/,Medium,"Linked List, Sorting"
LeetCode,Linked List,148. Sort List,https://leetcode.com/problems/sort-list/,Medium,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
LeetCode,Array,149. Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/,Hard,"Array, Hash Table, Math, Geometry"
LeetCode,Array,150. Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Medium,"Array, Math, Stack"
LeetCode,Two Pointers,151. Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,Medium,"Two Pointers, String"
